,base_name,fluoride_name,substrate_name,base_smiles,fluoride_smiles,substrate_smiles,yield
0,DBU,3-Cl,s1,N12CCCN=C1CCCCC2,ClC1=CC=C(S(=O)(F)=O)C=C1,OCCCCC1=CC=CC=C1,42
1,DBU,PyFluor,s1,N12CCCN=C1CCCCC2,O=S(C1=CC=CC=N1)(F)=O,OCCCCC1=CC=CC=C1,48
2,DBU,3-CF3,s1,N12CCCN=C1CCCCC2,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,OCCCCC1=CC=CC=C1,47
3,DBU,3-NO2,s1,N12CCCN=C1CCCCC2,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,OCCCCC1=CC=CC=C1,52
4,DBU,PBSF,s1,N12CCCN=C1CCCCC2,FC(C(F)(S(=O)(F)=O)F)(F)C(F)(F)C(F)(F)F,OCCCCC1=CC=CC=C1,52
5,MTBD,3-Cl,s1,CN1CCCN2CCCN=C21,ClC1=CC=C(S(=O)(F)=O)C=C1,OCCCCC1=CC=CC=C1,76
6,MTBD,PyFluor,s1,CN1CCCN2CCCN=C21,O=S(C1=CC=CC=N1)(F)=O,OCCCCC1=CC=CC=C1,78
7,MTBD,3-CF3,s1,CN1CCCN2CCCN=C21,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,OCCCCC1=CC=CC=C1,87
8,MTBD,3-NO2,s1,CN1CCCN2CCCN=C21,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,OCCCCC1=CC=CC=C1,82
9,MTBD,PBSF,s1,CN1CCCN2CCCN=C21,FC(C(F)(S(=O)(F)=O)F)(F)C(F)(F)C(F)(F)F,OCCCCC1=CC=CC=C1,80
10,BTMG,3-Cl,s1,CN(C)/C(N(C)C)=N/C(C)(C)C,ClC1=CC=C(S(=O)(F)=O)C=C1,OCCCCC1=CC=CC=C1,78
11,BTMG,PyFluor,s1,CN(C)/C(N(C)C)=N/C(C)(C)C,O=S(C1=CC=CC=N1)(F)=O,OCCCCC1=CC=CC=C1,79
12,BTMG,3-CF3,s1,CN(C)/C(N(C)C)=N/C(C)(C)C,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,OCCCCC1=CC=CC=C1,91
